ExpectedPnL,AchievedPnL,TotalTrades,TPSL_Level,FinalOutcome,FinalQuality,new_or_old,num_bars,timeframe,model_type
45560,28597.7,880,20,VeryGood,0.6276931505098922,NEW,75,15,R
24548,17857.800000000007,372,40,VeryGood,0.7274645562674577,PREV,75,15,R
