ExpectedPnL,AchievedPnL,TotalTrades,TPSL_Level,FinalOutcome,FinalQuality,new_or_old,num_bars,timeframe,model_type
25960,7446.400000000011,533,20,VeryGood,0.28684129319398616,NEW,100,15,R
25960,7446.400000000011,533,20,VeryGood,0.28684129319398616,PREV,100,15,R
