ExpectedPnL,AchievedPnL,TotalTrades,TPSL_Level,FinalOutcome,FinalQuality,new_or_old,num_bars,timeframe,model_type
15196,10677.699999999973,710,10,VeryGood,0.702665170422049,NEW,100,1,R
15196,10677.699999999973,710,10,VeryGood,0.702665170422049,PREV,100,1,R
