ExpectedPnL,AchievedPnL,TotalTrades,TPSL_Level,FinalOutcome,FinalQuality,new_or_old,num_bars,timeframe,model_type
29201,15200.099999999999,180,110,VeryGood,0.5205335415892142,NEW,75,60,R
23765,17043.5,171,90,VeryGood,0.7171681013373948,PREV,75,60,R
