ExpectedPnL,AchievedPnL,TotalTrades,TPSL_Level,FinalOutcome,FinalQuality,new_or_old,num_bars,timeframe,model_type
18776,13562.5,955,10,VeryGood,0.7223316961955065,NEW,75,1,R
16849,12983.400000000005,841,10,VeryGood,0.7705739167275573,PREV,75,1,R
