ExpectedPnL,AchievedPnL,TotalTrades,TPSL_Level,FinalOutcome,FinalQuality,new_or_old,num_bars,timeframe,model_type
61405,44074.70000000001,877,40,VeryGood,0.7177705386894058,NEW,75,15,R
62164,50288.1,1129,30,VeryGood,0.8089585599238167,PREV,75,15,R
