ExpectedPnL,AchievedPnL,TotalTrades,TPSL_Level,FinalOutcome,FinalQuality,new_or_old,num_bars,timeframe,model_type
53296,22572.600000000013,404,70,VeryGood,0.42353272211135434,NEW,100,60,R
61763,32560.39999999999,613,40,VeryGood,0.5271829403895811,PREV,100,60,R
